Event,Gold,Silver,Bronze,Total,Year,Season
Ski & Snowboard,5,8,4,17,2026,Winter
Luge,0,0,1,1,2026,Winter
Speed Skating,2,2,2,6,2026,Winter
Bobsled & Skeleton,1,0,2,3,2026,Winter
Figure Skating,2,1,0,3,2026,Winter
Ice Hockey,2,0,0,2,2026,Winter
Curling,0,1,0,1,2026,Winter
Ski & Snowboard,5,7,3,15,2022,Winter
Figure Skating,2,0,1,3,2022,Winter
Bobsled & Skeleton,1,1,1,3,2022,Winter
Speed Skating,1,0,2,3,2022,Winter
Ice Hockey,0,1,0,1,2022,Winter
Ski & Snowboard,7,5,3,15,2018,Winter
Speed Skating,0,1,1,2,2018,Winter
Figure Skating,0,0,2,2,2018,Winter
Bobsled & Skeleton,0,1,0,1,2018,Winter
Ice Hockey,1,0,0,1,2018,Winter
Curling,1,0,0,1,2018,Winter
Luge,0,0,1,1,2014,Winter
Ski & Snowboard,8,3,6,17,2014,Winter
Bobsled & Skeleton,0,4,2,6,2014,Winter
Figure Skating,1,0,1,2,2014,Winter
Speed Skating,0,1,0,1,2014,Winter
Ice Hockey,0,1,0,1,2014,Winter
Ski & Snowboard,6,8,7,21,2010,Winter
Speed Skating,1,4,5,10,2010,Winter
Figure Skating,1,1,0,2,2010,Winter
Bobsled & Skeleton,1,0,1,2,2010,Winter
Ice Hockey,0,2,0,2,2010,Winter
Speed Skating,4,3,3,10,2006,Winter
Ski & Snowboard,5,3,2,10,2006,Winter
Figure Skating,0,2,0,2,2006,Winter
Bobsled & Skeleton,0,1,0,1,2006,Winter
Ice Hockey,0,0,1,1,2006,Winter
Curling,0,0,1,1,2006,Winter
Ski & Snowboard,2,6,2,10,2002,Winter
Figure Skating,1,0,2,3,2002,Winter
Speed Skating,4,2,5,11,2002,Winter
Bobsled & Skeleton,3,2,1,6,2002,Winter
Luge,0,1,1,2,2002,Winter
Ice Hockey,0,2,0,2,2002,Winter
Luge,0,1,1,2,1998,Winter
Ice Hockey,1,0,0,1,1998,Winter
Speed Skating,4,1,2,7,1994,Winter
Figure Skating,0,1,0,1,1994,Winter
Ski & Snowboard,1,2,1,4,1992,Winter
Figure Skating,1,0,2,3,1988,Winter
Ski & Snowboard,3,2,0,5,1984,Winter
Speed Skating,5,2,1,8,1980,Winter
Ski & Snowboard,0,1,0,1,1980,Winter
Ice Hockey,1,0,0,1,1980,Winter
Ski & Snowboard,0,1,1,2,1976,Winter
Speed Skating,2,2,2,6,1976,Winter
Figure Skating,1,0,1,2,1976,Winter
Figure Skating,0,0,1,1,1972,Winter
Ski & Snowboard,1,0,1,2,1972,Winter
Ice Hockey,0,1,0,1,1972,Winter
Figure Skating,1,1,0,2,1968,Winter
Speed Skating,1,0,0,1,1964,Winter
Figure Skating,0,0,2,2,1964,Winter
Speed Skating,0,1,1,2,1960,Winter
Figure Skating,2,0,2,4,1960,Winter
Ski & Snowboard,0,3,0,3,1960,Winter
Ice Hockey,1,0,0,1,1960,Winter
Figure Skating,2,2,1,5,1956,Winter
Bobsled & Skeleton,0,0,1,1,1956,Winter
Ice Hockey,0,1,0,1,1956,Winter
Speed Skating,1,1,0,2,1952,Winter
Bobsled & Skeleton,0,2,0,2,1952,Winter
Ski & Snowboard,2,0,0,2,1952,Winter
Ice Hockey,0,1,0,1,1952,Winter
Bobsled & Skeleton,1,1,2,4,1948,Winter
Figure Skating,1,0,0,1,1948,Winter
Ski & Snowboard,1,1,0,2,1948,Winter
Speed Skating,0,0,1,1,1936,Winter
Bobsled & Skeleton,1,0,1,2,1936,Winter
Ice Hockey,0,0,1,1,1936,Winter
Speed Skating,4,1,0,5,1932,Winter
Figure Skating,0,1,1,2,1932,Winter
Bobsled & Skeleton,2,1,1,4,1932,Winter
Ice Hockey,0,1,0,1,1932,Winter
Bobsled & Skeleton,2,2,0,4,1928,Winter
Speed Skating,0,0,1,1,1928,Winter
Figure Skating,0,0,1,1,1928,Winter
Speed Skating,1,0,0,1,1924,Winter
Figure Skating,0,1,0,1,1924,Winter
Ski & Snowboard,0,0,1,1,1924,Winter
Ice Hockey,0,1,0,1,1924,Winter
Track & Field,14,11,9,34,2024,Summer
Archery,0,1,1,2,2024,Summer
Shooting,1,3,1,5,2024,Summer
Cycling,3,1,1,5,2024,Summer
Canoe & Kayak,0,1,1,2,2024,Summer
Gymnastics,3,1,5,9,2024,Summer
Surfing,1,0,0,1,2024,Summer
Golf,1,0,0,1,2024,Summer
Sport Climbing,0,1,1,2,2024,Summer
Weightlifting,1,0,1,2,2024,Summer
Sailing,0,0,1,1,2024,Summer
Equestrian,0,1,0,1,2024,Summer
Triathlon,0,1,0,1,2024,Summer
Synchronized Swimming,0,1,0,1,2024,Summer
Basketball,2,0,1,3,2024,Summer
Soccer,1,0,0,1,2024,Summer
Rugby,0,0,1,1,2024,Summer
Volleyball,0,1,1,2,2024,Summer
Water Polo,0,0,1,1,2024,Summer
Breaking,0,0,1,1,2024,Summer
Fencing,2,1,1,4,2024,Summer
Wrestling,2,2,3,7,2024,Summer
Boxing,0,0,1,1,2024,Summer
Taekwondo,0,0,1,1,2024,Summer
Tennis,0,1,1,2,2024,Summer
Track & Field,7,12,7,26,2021,Summer
Canoe & Kayak,1,0,0,1,2021,Summer
Cycling,1,0,1,2,2021,Summer
Golf,2,0,0,2,2021,Summer
Skateboarding,0,0,2,2,2021,Summer
Surfing,1,0,0,1,2021,Summer
Triathlon,0,1,1,2,2021,Summer
Weightlifting,0,1,1,2,2021,Summer
Diving,0,2,1,3,2021,Summer
Gymnastics,2,2,2,6,2021,Summer
Sport Climbing,0,1,0,1,2021,Summer
Equestrian,0,2,0,2,2021,Summer
Volleyball,2,0,0,2,2021,Summer
Softball,0,1,0,1,2021,Summer
Basketball,3,0,0,3,2021,Summer
Water Polo,1,0,0,1,2021,Summer
Soccer,0,0,1,1,2021,Summer
Baseball,0,1,0,1,2021,Summer
Boxing,0,3,1,4,2021,Summer
Fencing,1,0,1,2,2021,Summer
Karate,0,0,1,1,2021,Summer
Taekwondo,1,0,0,1,2021,Summer
Wrestling,3,2,4,9,2021,Summer
Track & Field,13,10,9,32,2016,Summer
Archery,0,1,1,2,2016,Summer
Gymnastics,4,6,2,12,2016,Summer
Sailing,0,0,1,1,2016,Summer
Shooting,1,0,2,3,2016,Summer
Swimming,16,8,9,33,2016,Summer
Golf,0,0,1,1,2016,Summer
Cycling,2,3,0,5,2016,Summer
Weightlifting,0,0,1,1,2016,Summer
Rowing,1,1,0,2,2016,Summer
Equestrian,0,1,2,3,2016,Summer
Water Polo,1,0,0,1,2016,Summer
Volleyball,0,0,3,3,2016,Summer
Basketball,2,0,0,2,2016,Summer
Wrestling,2,0,1,3,2016,Summer
Fencing,0,2,2,4,2016,Summer
Boxing,1,1,1,3,2016,Summer
Judo,1,1,0,2,2016,Summer
Taekwondo,0,0,1,1,2016,Summer
Tennis,1,1,1,3,2016,Summer
Diving,1,1,2,4,2012,Summer
Cycling,1,2,1,4,2012,Summer
Swimming,16,9,6,31,2012,Summer
Track & Field,11,10,8,29,2012,Summer
Shooting,3,0,1,4,2012,Summer
Gymnastics,3,1,2,6,2012,Summer
Rowing,1,0,2,3,2012,Summer
Archery,0,1,0,1,2012,Summer
Water Polo,1,0,0,1,2012,Summer
Basketball,2,0,0,2,2012,Summer
Soccer,1,0,0,1,2012,Summer
Volleyball,1,2,0,3,2012,Summer
Taekwondo,0,0,2,2,2012,Summer
Tennis,3,0,1,4,2012,Summer
Judo,1,0,1,2,2012,Summer
Boxing,1,0,1,2,2012,Summer
Wrestling,2,0,3,5,2012,Summer
Fencing,0,0,1,1,2012,Summer
Shooting,2,2,2,6,2008,Summer
Swimming,12,9,10,31,2008,Summer
Sailing,1,1,0,2,2008,Summer
Gymnastics,2,6,2,10,2008,Summer
Track & Field,7,10,8,25,2008,Summer
Cycling,1,1,3,5,2008,Summer
Rowing,1,1,1,3,2008,Summer
Equestrian,1,1,1,3,2008,Summer
Water Polo,0,2,0,2,2008,Summer
Basketball,2,0,0,2,2008,Summer
Volleyball,3,1,0,4,2008,Summer
Baseball,0,0,1,1,2008,Summer
Softball,0,1,0,1,2008,Summer
Soccer,1,0,0,1,2008,Summer
Fencing,1,3,2,6,2008,Summer
Boxing,0,0,1,1,2008,Summer
Judo,0,0,1,1,2008,Summer
Wrestling,1,0,2,3,2008,Summer
Taekwondo,0,1,2,3,2008,Summer
Tennis,1,0,1,2,2008,Summer
Gymnastics,2,6,1,9,2004,Summer
Canoe & Kayak,0,1,0,1,2004,Summer
Shooting,2,1,0,3,2004,Summer
Swimming,12,9,7,28,2004,Summer
Triathlon,0,0,1,1,2004,Summer
Track & Field,9,11,5,25,2004,Summer
Cycling,0,2,0,2,2004,Summer
Equestrian,1,2,2,5,2004,Summer
Synchronized Swimming,0,0,2,2,2004,Summer
Sailing,1,1,0,2,2004,Summer
Rowing,1,1,0,2,2004,Summer
Softball,1,0,0,1,2004,Summer
Basketball,1,0,1,2,2004,Summer
Water Polo,0,0,1,1,2004,Summer
Soccer,1,0,0,1,2004,Summer
Taekwondo,1,1,0,2,2004,Summer
Wrestling,1,3,2,6,2004,Summer
Tennis,0,1,0,1,2004,Summer
Fencing,1,0,1,2,2004,Summer
Judo,0,0,1,1,2004,Summer
Boxing,1,0,1,2,2004,Summer
Volleyball,1,0,1,2,2004,Summer
Track & Field,7,4,5,16,2000,Summer
Diving,1,0,0,1,2000,Summer
Cycling,1,1,0,2,2000,Summer
Swimming,14,8,11,33,2000,Summer
Sailing,1,2,1,4,2000,Summer
Rowing,0,1,2,3,2000,Summer
Archery,0,1,1,2,2000,Summer
Equestrian,1,0,2,3,2000,Summer
Gymnastics,0,0,1,1,2000,Summer
Shooting,1,0,2,3,2000,Summer
Modern Pentathlon,0,1,0,1,2000,Summer
Basketball,2,0,0,2,2000,Summer
Water Polo,0,1,0,1,2000,Summer
Baseball,1,0,0,1,2000,Summer
Softball,1,0,0,1,2000,Summer
Soccer,0,1,0,1,2000,Summer
Boxing,0,2,2,4,2000,Summer
Wrestling,2,2,3,7,2000,Summer
Taekwondo,1,0,0,1,2000,Summer
Tennis,2,0,1,3,2000,Summer
Volleyball,1,0,0,1,2000,Summer
Weightlifting,1,0,1,2,2000,Summer
Swimming,13,11,2,26,1996,Summer
Track & Field,13,5,5,23,1996,Summer
Diving,0,0,2,2,1996,Summer
Cycling,0,2,1,3,1996,Summer
Gymnastics,2,2,1,5,1996,Summer
Shooting,1,1,1,3,1996,Summer
Sailing,0,0,2,2,1996,Summer
Synchronized Swimming,1,0,0,1,1996,Summer
Rowing,0,3,1,4,1996,Summer
Archery,2,0,0,2,1996,Summer
Equestrian,0,2,2,4,1996,Summer
Canoe & Kayak,0,1,0,1,1996,Summer
Basketball,2,0,0,2,1996,Summer
Softball,1,0,0,1,1996,Summer
Baseball,0,0,1,1,1996,Summer
Soccer,1,0,0,1,1996,Summer
Boxing,1,0,5,6,1996,Summer
Wrestling,3,4,1,8,1996,Summer
Judo,0,0,1,1,1996,Summer
Tennis,3,0,0,3,1996,Summer
Volleyball,1,1,0,2,1996,Summer
Synchronized Swimming,2,0,0,2,1992,Summer
Swimming,11,9,7,27,1992,Summer
Track & Field,12,8,10,30,1992,Summer
Diving,1,1,1,3,1992,Summer
Cycling,0,0,2,2,1992,Summer
Gymnastics,1,2,3,6,1992,Summer
Sailing,1,6,2,9,1992,Summer
Rowing,0,2,1,3,1992,Summer
Equestrian,0,0,2,2,1992,Summer
Canoe & Kayak,1,0,2,3,1992,Summer
Shooting,1,1,0,2,1992,Summer
Volleyball,0,0,2,2,1992,Summer
Basketball,1,0,1,2,1992,Summer
Boxing,1,1,1,3,1992,Summer
Wrestling,3,3,2,8,1992,Summer
Judo,0,1,0,1,1992,Summer
Tennis,2,0,1,3,1992,Summer
Synchronized Swimming,0,2,0,2,1988,Summer
Swimming,8,6,4,18,1988,Summer
Track & Field,13,7,6,26,1988,Summer
Diving,2,1,2,5,1988,Summer
Cycling,0,0,1,1,1988,Summer
Sailing,1,2,2,5,1988,Summer
Gymnastics,0,0,1,1,1988,Summer
Rowing,0,2,1,3,1988,Summer
Archery,1,1,1,3,1988,Summer
Equestrian,0,2,0,2,1988,Summer
Canoe & Kayak,2,0,0,2,1988,Summer
Shooting,0,1,0,1,1988,Summer
Volleyball,1,0,0,1,1988,Summer
Basketball,1,0,1,2,1988,Summer
Water Polo,0,1,0,1,1988,Summer
Boxing,3,3,2,8,1988,Summer
Judo,0,1,1,2,1988,Summer
Wrestling,2,1,3,6,1988,Summer
Tennis,2,1,2,5,1988,Summer
Synchronized Swimming,2,0,0,2,1984,Summer
Swimming,21,13,0,34,1984,Summer
Track & Field,16,15,9,40,1984,Summer
Diving,2,3,3,8,1984,Summer
Cycling,4,3,2,9,1984,Summer
Gymnastics,5,5,6,16,1984,Summer
Shooting,3,1,2,6,1984,Summer
Sailing,3,4,0,7,1984,Summer
Rowing,2,5,1,8,1984,Summer
Modern Pentathlon,0,1,0,1,1984,Summer
Equestrian,3,2,0,5,1984,Summer
Field Hockey,0,0,1,1,1984,Summer
Volleyball,1,1,0,2,1984,Summer
Basketball,2,0,0,2,1984,Summer
Water Polo,0,1,0,1,1984,Summer
Boxing,9,1,1,11,1984,Summer
Fencing,0,0,1,1,1984,Summer
Judo,0,1,1,2,1984,Summer
Wrestling,9,3,1,13,1984,Summer
Archery,1,1,0,2,1984,Summer
Weightlifting,0,1,1,2,1984,Summer
Canoe & Kayak,0,0,1,1,1984,Summer
Swimming,13,14,7,34,1976,Summer
Track & Field,6,8,8,22,1976,Summer
Diving,2,1,2,5,1976,Summer
Gymnastics,0,0,1,1,1976,Summer
Sailing,0,2,1,3,1976,Summer
Rowing,0,2,1,3,1976,Summer
Equestrian,2,1,1,4,1976,Summer
Shooting,2,1,0,3,1976,Summer
Basketball,1,1,0,2,1976,Summer
Boxing,5,1,1,7,1976,Summer
Judo,0,0,1,1,1976,Summer
Wrestling,1,3,2,6,1976,Summer
Archery,2,0,0,2,1976,Summer
Weightlifting,0,1,0,1,1976,Summer
Swimming,17,14,12,43,1972,Summer
Track & Field,6,8,8,22,1972,Summer
Diving,1,1,1,3,1972,Summer
Shooting,2,2,0,4,1972,Summer
Sailing,1,0,2,3,1972,Summer
Rowing,0,1,0,1,1972,Summer
Equestrian,0,2,1,3,1972,Summer
Canoe & Kayak,0,0,1,1,1972,Summer
Basketball,0,1,0,1,1972,Summer
Water Polo,0,0,1,1,1972,Summer
Boxing,1,0,3,4,1972,Summer
Wrestling,3,2,1,6,1972,Summer
Archery,2,0,0,2,1972,Summer
Swimming,21,15,16,52,1968,Summer
Track & Field,15,6,7,28,1968,Summer
Diving,2,0,4,6,1968,Summer
Shooting,1,2,0,3,1968,Summer
Sailing,2,0,0,2,1968,Summer
Rowing,0,1,1,2,1968,Summer
Equestrian,1,1,1,3,1968,Summer
Basketball,1,0,0,1,1968,Summer
Boxing,2,1,4,7,1968,Summer
Wrestling,0,2,0,2,1968,Summer
Weightlifting,0,0,1,1,1968,Summer
Swimming,13,8,8,29,1964,Summer
Track & Field,14,7,3,24,1964,Summer
Diving,3,2,3,8,1964,Summer
Shooting,2,2,3,7,1964,Summer
Sailing,0,2,3,5,1964,Summer
Rowing,2,1,1,4,1964,Summer
Modern Pentathlon,0,1,0,1,1964,Summer
Equestrian,0,1,0,1,1964,Summer
Canoe & Kayak,0,1,1,2,1964,Summer
Basketball,1,0,0,1,1964,Summer
Boxing,1,0,3,4,1964,Summer
Judo,0,0,1,1,1964,Summer
Wrestling,0,0,1,1,1964,Summer
Weightlifting,0,1,1,2,1964,Summer
Track & Field,12,8,6,26,1960,Summer
Diving,2,4,0,6,1960,Summer
Sailing,1,0,1,2,1960,Summer
Rowing,1,0,1,2,1960,Summer
Modern Pentathlon,0,0,2,2,1960,Summer
Equestrian,0,1,0,1,1960,Summer
Shooting,1,1,0,2,1960,Summer
Basketball,1,0,0,1,1960,Summer
Boxing,3,0,1,4,1960,Summer
Fencing,0,0,1,1,1960,Summer
Wrestling,3,0,0,3,1960,Summer
Weightlifting,1,4,1,6,1960,Summer
Swimming,2,4,5,11,1956,Summer
Diving,3,4,2,9,1956,Summer
Sailing,1,0,1,2,1956,Summer
Rowing,3,2,1,6,1956,Summer
Modern Pentathlon,0,1,0,1,1956,Summer
Shooting,0,0,1,1,1956,Summer
Basketball,1,0,0,1,1956,Summer
Boxing,2,1,0,3,1956,Summer
Wrestling,0,1,1,2,1956,Summer
Weightlifting,4,2,1,7,1956,Summer
Swimming,4,2,3,9,1952,Summer
Track & Field,15,10,6,31,1952,Summer
Sailing,2,1,0,3,1952,Summer
Rowing,2,0,1,3,1952,Summer
Equestrian,0,0,2,2,1952,Summer
Shooting,1,0,1,2,1952,Summer
Basketball,1,0,0,1,1952,Summer
Boxing,5,0,0,5,1952,Summer
Wrestling,1,2,1,4,1952,Summer
Weightlifting,4,2,0,6,1952,Summer
Canoe & Kayak,1,0,0,1,1952,Summer
Swimming,8,6,1,15,1948,Summer
Track & Field,12,5,10,27,1948,Summer
Diving,4,4,2,10,1948,Summer
Rowing,2,0,1,3,1948,Summer
Equestrian,1,2,0,3,1948,Summer
Canoe & Kayak,1,2,0,3,1948,Summer
Gymnastics,0,0,1,1,1948,Summer
Shooting,1,1,0,2,1948,Summer
Modern Pentathlon,0,1,0,1,1948,Summer
Basketball,1,0,0,1,1948,Summer
Boxing,0,1,0,1,1948,Summer
Wrestling,2,1,1,4,1948,Summer
Fencing,0,0,1,1,1948,Summer
Weightlifting,4,3,1,8,1948,Summer
Swimming,2,3,3,8,1936,Summer
Track & Field,14,7,4,25,1936,Summer
Diving,4,4,2,10,1936,Summer
Rowing,1,0,1,2,1936,Summer
Modern Pentathlon,0,1,0,1,1936,Summer
Basketball,1,0,0,1,1936,Summer
Boxing,0,1,1,2,1936,Summer
Wrestling,1,3,0,4,1936,Summer
Weightlifting,1,0,0,1,1936,Summer
Canoe & Kayak,0,0,1,1,1936,Summer
Swimming,5,2,3,10,1932,Summer
Track & Field,16,13,6,35,1932,Summer
Diving,4,4,4,12,1932,Summer
Gymnastics,5,6,5,16,1932,Summer
Sailing,2,1,0,3,1932,Summer
Equestrian,1,2,2,5,1932,Summer
Modern Pentathlon,0,0,1,1,1932,Summer
Water Polo,0,0,1,1,1932,Summer
Field Hockey,0,0,1,1,1932,Summer
Fencing,0,1,2,3,1932,Summer
Boxing,2,0,3,5,1932,Summer
Wrestling,3,2,0,5,1932,Summer
Weightlifting,0,0,2,2,1932,Summer
Swimming,6,2,3,11,1928,Summer
Track & Field,9,8,8,25,1928,Summer
Diving,4,3,2,9,1928,Summer
Rowing,2,2,1,5,1928,Summer
Fencing,0,0,1,1,1928,Summer
Boxing,0,2,1,3,1928,Summer
Swimming,9,5,5,19,1924,Summer
Track & Field,12,10,10,32,1924,Summer
Diving,4,4,3,11,1924,Summer
Gymnastics,1,0,0,1,1924,Summer
Shooting,5,2,2,9,1924,Summer
Rowing,2,1,2,5,1924,Summer
Equestrian,0,0,1,1,1924,Summer
Polo,0,1,0,1,1924,Summer
Rugby,1,0,0,1,1924,Summer
Boxing,2,2,2,6,1924,Summer
Wrestling,4,1,1,6,1924,Summer
Tennis,5,1,0,6,1924,Summer
Swimming,8,5,3,16,1920,Summer
Track & Field,9,12,8,29,1920,Summer
Diving,3,2,3,8,1920,Summer
Figure Skating,0,0,1,1,1920,Summer
Shooting,13,4,6,23,1920,Summer
Rowing,3,1,0,4,1920,Summer
Ice Hockey,0,1,0,1,1920,Summer
Polo,0,0,1,1,1920,Summer
Boxing,3,0,1,4,1920,Summer
Wrestling,1,2,3,6,1920,Summer
Fencing,0,0,1,1,1920,Summer
Swimming,2,1,1,4,1912,Summer
Track & Field,16,14,12,42,1912,Summer
Cycling,0,0,2,2,1912,Summer
Shooting,7,4,3,14,1912,Summer
Equestrian,0,0,1,1,1912,Summer
Swimming,1,0,1,2,1908,Summer
Track & Field,16,10,8,34,1908,Summer
Diving,0,0,1,1,1908,Summer
Shooting,3,2,1,6,1908,Summer
Wrestling,2,0,0,2,1908,Summer
Jeu de Paume,1,0,0,1,1908,Summer
Archery,0,0,1,1,1908,Summer
Golf,1,2,3,6,1904,Summer
Swimming,4,7,6,17,1904,Summer
Track & Field,23,22,22,67,1904,Summer
Diving,1,0,1,2,1904,Summer
Cycling,7,7,7,21,1904,Summer
Gymnastics,12,8,9,29,1904,Summer
Rowing,5,4,4,13,1904,Summer
Archery,6,5,5,16,1904,Summer
Tug Of War,1,1,1,3,1904,Summer
Lacrosse,0,1,0,1,1904,Summer
Water Polo,1,2,0,3,1904,Summer
Soccer,0,1,1,2,1904,Summer
Fencing,1,5,4,10,1904,Summer
Boxing,7,7,5,19,1904,Summer
Wrestling,7,7,7,21,1904,Summer
Roque,1,1,1,3,1904,Summer
Tennis,2,2,4,8,1904,Summer
Weightlifting,1,2,2,5,1904,Summer
Golf,2,1,1,4,1900,Summer
Track & Field,16,13,10,39,1900,Summer
Cycling,0,0,1,1,1900,Summer
Rowing,1,0,0,1,1900,Summer
Sailing,0,0,2,2,1900,Summer
Tennis,0,0,1,1,1900,Summer
Track & Field,9,6,2,17,1896,Summer
Shooting,2,1,0,3,1896,Summer
