year,Season,country,country_noc,gold,silver,bronze,total
1896,Summer,United States,USA,11,7,2,20
1900,Summer,United States,USA,19,14,15,48
1904,Summer,United States,USA,80,84,82,246
1906,NA,United States,USA,12,6,6,24
1908,Summer,United States,USA,23,12,12,47
1912,Summer,United States,USA,25,19,19,63
1920,Summer,United States,USA,41,27,27,95
1924,Summer,United States,USA,45,27,27,99
1924,Winter,United States,USA,1,2,1,4
1928,Summer,United States,USA,22,18,16,56
1928,Winter,United States,USA,2,2,2,6
1932,Summer,United States,USA,41,32,30,103
1932,Winter,United States,USA,6,4,2,12
1936,Summer,United States,USA,24,20,12,56
1936,Winter,United States,USA,1,0,3,4
1948,Summer,United States,USA,38,27,19,84
1948,Winter,United States,USA,3,4,2,9
1952,Summer,United States,USA,40,19,17,76
1952,Winter,United States,USA,4,6,1,11
1956,Summer,United States,USA,32,25,17,74
1956,Winter,United States,USA,2,3,2,7
1960,Summer,United States,USA,34,21,16,71
1960,Winter,United States,USA,3,4,3,10
1964,Summer,United States,USA,36,26,28,90
1964,Winter,United States,USA,1,2,4,7
1968,Summer,United States,USA,45,28,34,107
1968,Winter,United States,USA,1,5,1,7
1972,Summer,United States,USA,33,31,30,94
1972,Winter,United States,USA,3,2,3,8
1976,Summer,United States,USA,34,35,25,94
1976,Winter,United States,USA,3,3,4,10
1980,Winter,United States,USA,6,4,2,12
1984,Summer,United States,USA,83,61,30,174
1984,Winter,United States,USA,4,4,0,8
1988,Summer,United States,USA,36,31,27,94
1988,Winter,United States,USA,2,1,3,6
1992,Summer,United States,USA,37,34,37,108
1992,Winter,United States,USA,5,4,2,11
1994,Winter,United States,USA,6,5,2,13
1996,Summer,United States,USA,44,32,25,101
1998,Winter,United States,USA,6,3,4,13
2000,Summer,United States,USA,37,24,32,93
2002,Winter,United States,USA,10,13,11,34
2004,Summer,United States,USA,36,39,26,101
2006,Winter,United States,USA,9,9,7,25
2008,Summer,United States,USA,36,39,37,112
2010,Winter,United States,USA,9,15,13,37
2012,Summer,United States,USA,48,26,31,105
2014,Winter,United States,USA,9,9,10,28
2016,Summer,United States,USA,46,37,38,121
2018,Winter,United States,USA,9,8,6,23
2021,Summer,United States,USA,39,40,33,112
2022,Winter,United States,USA,9,9,7,25
2024,Summer,United States,US,40,43,42,125
,,,,,,,3123
2026,Winter,United States,USA,12,12,9,33
