year,Season,country,country_noc,gold,silver,bronze,total
1960,Summer,United States,USA,11,7,7,25
1964,Summer,United States,USA,50,41,32,123
1968,Summer,United States,USA,33,27,39,99
1972,Summer,United States,USA,17,27,31,75
1976,Summer,United States,USA,66,44,45,155
1980,Summer,United States,USA,75,66,54,195
1980,Winter,United States,USA,4,1,1,6
1984,Winter,United States,USA,7,14,14,35
1984,Summer,United States,USA,137,131,129,397
1988,Winter,United States,USA,7,17,6,30
1988,Summer,United States,USA,91,90,88,269
1992,Winter,United States,USA,20,16,9,45
1992,Summer,United States,USA,75,52,48,175
1994,Winter,United States,USA,24,12,7,43
1996,Summer,United States,USA,46,46,65,157
1998,Winter,United States,USA,13,8,13,34
2000,Summer,United States,USA,36,39,34,109
2002,Winter,United States,USA,10,22,11,43
2004,Summer,United States,USA,27,22,39,88
2006,Winter,United States,USA,7,2,3,12
2008,Summer,United States,USA,36,35,28,99
2010,Winter,United States,USA,4,5,4,13
2012,Summer,United States,USA,31,29,38,98
2014,Winter,United States,USA,2,7,9,18
2016,Summer,United States,USA,40,44,31,115
2018,Winter,United States,USA,13,15,8,36
2020,Summer,United States,USA,37,36,31,104
2022,Winter,United States,USA,6,11,3,20
2024,Summer,United States,USA,36,42,27,105
